#{"t_start": 1662268370.512798, "env_id": "highway-fast-v0"}
r,l,t
491.15543,500,7421.301626
84.604599,87,7424.208104
488.964662,500,7440.678382
255.609831,261,7449.413438
401.96809,412,7463.055127
98.127774,101,7466.383512
400.229399,409,7479.80657
489.381124,500,7496.58913
490.142277,500,7513.27793
157.654987,162,7518.543967
490.813654,500,7535.107759
490.471239,500,7551.562703
66.637689,69,7553.797252
489.527649,500,7570.204783
488.534577,500,7586.831079
357.744731,367,7599.098539
489.107074,500,7615.53732
491.661321,500,7632.02298
26.425658,28,7632.991806
71.891991,74,7635.507627
66.814986,69,7637.882814
35.357054,37,7639.13291
168.606363,173,7644.91461
489.123195,500,7661.431524
307.296689,314,7672.010475
490.857954,500,7688.699276
347.230635,354,7700.434566
35.17756,37,7701.715915
58.028181,60,7703.716071
491.367953,500,7720.404875
68.127051,70,7722.686301
489.310616,500,7739.281504
298.176341,303,7749.470001
488.633654,500,7766.04942
449.85831,460,7781.394366
317.538536,324,7792.051448
490.239721,500,7808.49023
490.535278,500,7825.060035
57.138746,59,7827.076312
490.44478,500,7843.436963
265.319769,270,7852.454259
489.727915,500,7868.955547
71.885737,74,7871.471367
490.348075,500,7888.123079
50.282234,52,7889.920095
135.139364,138,7894.451698
488.930473,500,7911.031116
192.452216,197,7917.594128
52.292486,54,7919.40677
252.905756,259,7928.1262
274.622437,280,7937.564436
187.873653,192,7943.971185
107.95508,111,7947.721479
39.08564,41,7949.065332
39.329479,41,7950.409188
174.599989,178,7956.534665
489.117659,500,7973.33285
486.194885,495,7989.756006
488.756568,500,8006.277405
114.287608,117,8010.137081
489.518591,500,8026.654159
232.287948,237,8034.561026
490.17363,500,8051.062312
490.675222,500,8067.657358
414.775093,423,8081.706251
59.445635,61,8083.909545
202.357393,207,8090.800708
187.617341,191,8097.176206
180.915657,185,8103.207925
489.801893,500,8119.881101
333.199071,340,8131.225736
78.536676,81,8133.975951
38.544685,40,8135.304181
490.016744,500,8152.102365
45.999058,48,8153.727491
42.066243,44,8155.149476
204.564048,209,8162.071892
34.228072,36,8163.306363
188.364637,193,8169.713112
46.900814,49,8171.463249
490.225841,500,8188.07392
68.995688,71,8190.464731
195.713264,201,8197.199632
100.162436,103,8200.746783
74.474744,77,8203.309483
164.477133,169,8208.981801
216.505156,221,8216.29487
489.307762,500,8232.922071
490.978957,500,8249.626498
489.244488,500,8266.299674
297.241654,304,8276.519221
31.497806,33,8277.644308
54.205101,56,8279.535081
489.553447,500,8296.208256
280.036937,286,8305.427726
489.710405,500,8322.060107
490.383477,500,8338.420758
122.861179,126,8342.827869
337.868709,345,8354.032364
23.537393,25,8354.891807
24.587966,26,8355.751248
42.211733,44,8357.251365
292.429026,298,8367.236519
125.067161,128,8371.627487
110.282969,113,8375.424658
302.610563,308,8385.612952
183.871042,188,8391.894693
87.844317,90,8395.051188
446.667613,456,8410.364883
147.414626,151,8415.349647
50.146274,52,8417.131036
33.44046,35,8418.303002
61.253325,63,8420.334411
209.395909,214,8427.413563
491.282814,500,8443.724808
490.957399,500,8460.226095
491.914734,500,8476.711756
489.48539,500,8493.369305
492.7799,500,8509.854965
489.615654,500,8526.403131
392.560365,401,8539.622913
489.459264,500,8556.108573
488.794655,500,8572.546319
489.620047,500,8589.193378
464.263533,471,8605.007112
92.854508,96,8608.179233
490.052801,500,8624.711773
491.217777,500,8641.025546
489.209507,500,8657.502766
263.946081,269,8666.409711
44.167779,46,8667.941082
488.414031,498,8684.395489
491.93852,500,8700.865523
489.597936,500,8717.273054
490.336456,500,8733.586825
242.351762,247,8741.806217
79.723884,82,8744.572057
283.686052,288,8754.244688
389.706737,397,8767.214448
57.075377,59,8769.214604
289.344784,296,8779.072532
198.548084,203,8785.838684
489.592985,500,8802.38685
396.850785,403,8815.716014
490.430926,500,8832.18605
490.041605,500,8848.749841
270.698978,278,8858.109946
491.699937,500,8874.751869
290.885506,298,8884.674518
491.659604,500,8901.034053
490.00699,500,8917.488462
64.939483,67,8919.676131
195.307973,201,8926.489164
112.461463,115,8930.301961
143.269983,147,8935.271098
124.561477,128,8939.490178
488.742689,500,8955.913809
35.349934,37,8957.179533
93.491825,96,8960.445412
491.509834,500,8976.852942
464.39818,473,8992.791685
230.093648,235,9000.557916
350.049164,357,9012.40259
488.90848,500,9029.013261
491.264903,500,9045.420789
217.887457,223,9052.811991
156.864162,161,9058.124907
490.675799,500,9074.579866
98.94919,102,9077.986382
43.208989,45,9079.455247
51.714915,54,9081.252262
76.382268,79,9083.924344
490.935019,500,9100.47251
490.575424,500,9117.005166
122.06682,126,9121.239871
157.990566,162,9126.568412
489.607809,500,9143.100952
491.783481,500,9159.55536
490.458943,500,9176.041021
214.141851,219,9183.229081
48.16408,50,9184.979218
489.715446,500,9201.573821
85.6454,88,9204.558426
370.006642,376,9217.043775
462.189211,470,9232.466854
489.487344,500,9248.89097
489.711297,500,9265.392449
27.508645,29,9266.376901
491.48143,500,9283.003198
488.738598,500,9299.551363
491.564654,500,9315.896388
233.669886,238,9323.772002
21.692244,23,9324.553313
490.701732,500,9341.210863
330.804562,339,9352.492992
136.048449,140,9357.212111
124.010594,127,9361.399937
23.513913,25,9362.259379
491.358474,500,9378.885675
135.536847,139,9383.542288
254.507011,260,9392.199214
490.653301,500,9408.888016
161.209007,165,9414.466576
489.83271,500,9430.967862
124.327855,128,9435.390082
489.539137,500,9452.078884
489.307148,500,9468.707352
491.466659,500,9485.318022
492.001412,500,9501.943911
164.818382,169,9507.678734
489.34818,500,9524.414413
55.083764,57,9526.383317
190.673062,194,9532.883824
180.47232,185,9539.18119
491.935064,500,9555.819687
490.744092,500,9572.336601
490.454633,500,9588.837887
239.88421,245,9597.151037
489.233285,500,9613.841029
489.239483,500,9630.436073
462.853432,474,9646.062292
64.542293,67,9648.281215
81.485503,84,9651.203318
492.496095,500,9667.642183
116.360694,120,9671.564363
222.194657,227,9679.252462
490.898118,500,9695.675619
256.528254,261,9704.629442
342.383924,350,9716.177218
40.608051,42,9717.630456
491.715996,500,9734.178622
491.52002,500,9750.695935
490.264942,500,9767.180494
65.215619,67,9769.493173
346.748817,355,9781.306596
101.148536,104,9784.744364
490.748477,500,9801.167519
442.904651,453,9816.390378
492.234756,500,9832.922921
489.280242,500,9849.486709
413.2391,423,9863.650161
342.871591,349,9875.338573
185.624712,189,9881.620314
367.304469,373,9894.230672
137.826403,141,9898.793527
490.741197,500,9915.497955
492.332942,500,9932.061747
274.852101,280,9941.468731
491.725364,500,9958.079401
489.598798,500,9974.565063
489.163626,500,9991.206986
308.934968,314,10001.645299
490.001434,500,10018.427858
490.451397,500,10035.101034
103.510537,106,10038.63256
68.917701,71,10040.992119
491.178036,500,10057.524658
490.324487,500,10074.040489
60.805301,63,10076.103151
490.523443,500,10092.933481
294.100755,300,10102.949888
489.28938,500,10119.748073
491.177505,500,10136.718146
492.013575,500,10153.531957
490.223046,500,10170.095749
490.200929,500,10186.800177
490.306744,500,10203.411134
76.444427,79,10206.098845
425.435741,433,10220.428087
387.829877,396,10233.73449
489.76537,500,10250.298282
490.48172,500,10267.12772
489.562219,500,10283.814723
490.09201,500,10300.425394
318.785505,324,10311.129354
229.203716,234,10318.973715
489.834229,500,10335.64689
66.055604,68,10337.928319
490.271936,500,10354.538989
187.43845,192,10360.914486
490.268542,500,10377.602771
140.27244,144,10382.415648
490.837542,500,10398.870925
295.822136,301,10409.01234
492.357746,500,10425.66989
205.389257,211,10432.748566
228.816344,234,10440.452293
489.29829,500,10456.969206
491.726953,500,10473.704886
418.154459,428,10487.98798
62.764883,65,10490.09752
492.468815,500,10506.895839
490.695502,500,10523.673685
338.444275,344,10535.315219
90.880751,94,10538.471714
489.400995,500,10555.066759
73.919386,76,10557.520076
117.675397,120,10561.62977
489.879668,500,10578.646723
151.723874,155,10583.803375
72.266435,75,10586.303571
185.23269,190,10592.71032
169.509298,174,10598.523273
339.549876,347,10609.992918
41.034822,43,10611.43053
489.111783,500,10628.166212
492.926026,500,10644.714375
491.900855,500,10661.465682
490.511897,500,10678.137757
489.041785,500,10694.889552
490.593406,500,10711.594843
491.45787,500,10728.158634
135.896654,140,10732.893378
490.004606,500,10749.738442
489.957887,500,10766.521921
52.20518,54,10768.397067
29.583657,31,10769.444025
172.330385,176,10775.350734
472.56455,482,10791.539497
391.725291,401,10805.228065
51.275974,53,10807.056332
489.74811,500,10823.807638
489.617246,500,10840.37143
168.412932,172,10846.215637
490.970944,500,10862.841934
112.468148,115,10866.717235
248.40832,253,10875.186646
489.98122,500,10891.812944
359.111788,366,10904.079524
488.884268,500,10920.877709
38.401121,40,10922.252817
163.071497,167,10927.925134
257.653599,263,10936.941462
370.603496,378,10949.661399
111.293862,114,10953.442944
490.397749,500,10969.991676
286.562098,292,10979.648679
351.719818,359,10991.540232
490.62546,500,11008.213407
56.97194,59,11010.213563
297.250325,302,11020.526867
491.768306,500,11037.293393
491.204019,500,11054.419729
457.369138,465,11069.921049
247.605087,252,11078.218695
76.514812,79,11080.922031
324.090396,330,11091.891637
143.546606,147,11096.860775
490.436413,500,11113.596455
445.096188,453,11128.816391
246.430112,252,11137.348307
491.728084,500,11154.037278
211.597194,216,11161.272217
207.187562,212,11168.350894
261.554364,267,11177.492233
231.753566,236,11185.461604
489.625618,500,11202.025396
58.999249,61,11204.11931
490.942201,500,11221.042504
490.773112,500,11237.668801
466.629231,475,11253.404403
63.60314,66,11255.701457
491.032224,500,11272.640279
226.68473,232,11280.515893
313.796892,321,11291.344862
490.837701,500,11308.158674
491.222489,500,11324.910485
112.790606,116,11328.721764
492.239731,500,11345.519949
490.433628,500,11362.33376
435.345075,445,11377.147415
490.698613,500,11393.804968
488.704898,500,11410.47814
490.708055,500,11427.463967
491.199502,500,11444.309028
491.325089,500,11461.091587
490.888032,500,11477.874146
489.007646,500,11494.609826
491.330268,500,11511.204871
490.248468,500,11527.768662
131.648394,135,11532.48778
490.75848,500,11548.97344
56.195692,58,11550.911093
402.130494,410,11564.740295
491.37415,500,11581.507229
492.738739,500,11598.274161
491.346721,500,11614.688173
176.911217,181,11620.641764
197.588063,203,11627.345411
489.613468,500,11644.190475
279.518267,286,11653.659964
491.37199,500,11670.208129
490.743461,500,11686.850054
178.392079,183,11692.991156
489.1041,500,11709.883605
492.516722,500,11726.573305
234.373564,239,11734.636434
491.168288,500,11751.387742
187.51851,192,11757.794491
489.707883,500,11774.405162
492.057274,500,11791.156467
429.563765,437,11805.907617
278.21141,284,11815.36148
299.061426,304,11825.549775
24.546388,26,11826.471722
296.836449,303,11836.706895
313.315103,319,11847.317098
490.688027,500,11864.271544
207.450967,212,11871.350222
119.424235,123,11875.444292
51.217522,53,11877.335063
335.186736,341,11888.75783
206.54643,211,11895.867759
166.349984,170,11901.602582
58.092549,60,11903.587112
233.730976,239,11911.665919
34.505743,36,11912.900388
492.881128,500,11929.776706
489.565073,500,11946.434254
204.39756,209,11953.591062
227.721178,232,11961.294788
315.817485,323,11972.264394
22.605353,24,11973.123837
492.216851,500,11989.734507
492.814378,500,12006.501987
32.353406,34,12007.673952
66.676409,69,12009.971007
36.361144,38,12011.346114
173.919867,178,12017.252825
135.201018,138,12022.050075
490.47967,500,12038.854866
448.09816,457,12054.121831
492.824926,500,12070.810631
491.227045,500,12087.421302
411.494339,417,12101.31301
441.402892,449,12116.36106
296.707274,302,12126.549354
489.371159,500,12143.066267
303.421988,309,12153.42645
490.360896,500,12170.052747
212.758162,218,12177.350191
228.542598,234,12185.257058
491.357138,500,12201.914607
273.218193,279,12211.227833
127.407692,131,12215.650054
491.613322,500,12232.510743
29.467557,31,12233.526447
488.617777,500,12250.277795
486.163843,495,12266.857213
237.810321,243,12275.060977
491.321451,500,12291.656021
328.831703,334,12302.828768
100.458929,103,12306.266536
213.386252,218,12313.454597
492.28068,500,12330.018878
491.257243,500,12346.613921
35.283746,37,12347.864998
489.970943,500,12364.428983
492.645441,500,12380.940315
491.902342,500,12397.519734
90.26724,93,12400.629352
378.866681,384,12413.380346
492.227308,500,12430.1004
388.378801,396,12443.351434
476.371746,486,12459.52457
490.862478,500,12476.291503
430.450246,440,12491.058279
491.717339,500,12507.700202
490.902477,500,12524.482762
492.780377,500,12541.265321
490.236265,500,12557.782233
59.587632,62,12559.891773
146.495281,150,12564.829658
491.234709,500,12581.51846
490.171283,500,12598.222888
492.150864,500,12615.005447
492.598831,500,12631.649634
489.255734,500,12648.494698
489.792915,500,12665.230378
489.29546,500,12682.012937
490.441147,500,12698.499054
490.68687,500,12715.17223
490.975189,500,12732.001668
377.709991,384,12744.815167
489.455611,500,12761.441463
489.6067,500,12777.895871
302.467723,309,12788.037287
489.756903,500,12804.772968
491.227243,500,12821.352386
490.375124,500,12837.916178
488.847935,500,12854.386213
492.21767,500,12870.950004
320.702917,329,12881.950862
491.176939,500,12898.515147
491.661158,500,12914.945039
491.011866,500,12931.586962
491.129952,500,12948.416401
231.81902,237,12956.35452
491.470413,500,12973.106751
489.944638,500,12989.701795
490.486987,500,13006.468728
492.091502,500,13023.204409
282.004281,287,13032.970794
405.308861,414,13046.893756
306.493248,314,13057.332069
439.300386,446,13072.1301
489.756113,500,13088.740769
489.242231,500,13105.523329
307.336571,316,13116.008521
30.425936,32,13117.086731
490.440991,500,13133.713027
151.944667,156,13138.869679
378.318766,386,13151.732407
490.713314,500,13168.686856
494.05382,500,13185.563171
489.743348,500,13202.376982
492.102389,500,13219.190794
287.382825,293,13229.082191
173.523184,178,13235.03578
302.278069,307,13245.286579
279.724462,285,13254.959209
493.16866,500,13271.616758
469.674553,478,13287.508099
489.883271,500,13304.259647
349.741718,358,13316.262608
444.834663,452,13331.591928
490.418534,500,13348.436993
490.977011,500,13365.110168
146.288785,150,13370.188689
491.970798,500,13386.92437
414.776688,421,13400.925462
156.053826,160,13406.274454
490.940152,500,13422.775741
186.984737,191,13429.213743
492.089394,500,13445.84097
490.04566,500,13462.389136
491.162358,500,13479.062312
491.003457,500,13495.813619
219.152465,224,13503.345455
120.277547,123,13507.642666
491.584299,500,13524.190832
493.230318,500,13540.864007
221.566813,227,13548.427096
491.593489,500,13565.180485
489.68545,500,13581.916166
190.466751,194,13588.338541
492.883581,500,13605.042969
217.530127,223,13612.606059
295.184795,301,13622.606839
111.094915,114,13626.419636
152.729052,156,13631.654419
212.317425,218,13638.795602
209.714166,213,13645.968036
19.63758,21,13646.70247
205.565765,210,13653.828025
251.771861,257,13662.359939
330.787297,338,13673.829584
490.72711,500,13690.376701
196.768102,201,13697.15848
268.301754,274,13706.346697
134.840821,138,13711.050189
28.494587,30,13712.097147
490.283421,500,13728.739068
433.045723,441,13743.271451
412.028077,420,13757.303797
182.45434,187,13763.460526
491.840938,500,13779.993066
445.087371,453,13795.10362
181.420515,185,13801.354107
225.464368,230,13809.073459
490.65709,500,13825.840392
490.904096,500,13842.513567
489.542905,500,13859.452388
490.204195,500,13876.359959
275.72636,281,13885.7904
239.075616,245,13894.041044
488.696445,500,13910.886107
492.073773,500,13927.606162
492.246133,500,13944.357468
147.827261,151,13949.373485
490.17218,500,13966.061809
489.440235,500,13982.813116
47.980393,50,13984.532
491.472097,500,14001.533326
156.162061,160,14006.846241
312.080168,319,14017.565826
386.971199,394,14030.863739
119.717685,122,14035.051565
253.686142,260,14043.911631
489.690355,500,14060.694191
491.797867,500,14077.585603
91.357645,94,14080.742099
428.230107,437,14095.259749
491.559029,500,14111.82354
140.057785,144,14116.527031
272.265957,278,14125.776505
71.889679,74,14128.245448
491.054143,500,14144.965502
489.901454,500,14161.607425
492.864369,500,14178.437024
489.90893,500,14194.891431
394.452948,402,14208.486242
254.405556,260,14217.221298
46.146102,48,14218.830798
59.554077,62,14220.893461
490.065293,500,14237.551009
198.03536,202,14244.317161
491.735621,500,14260.865326
489.042994,500,14277.460371
206.20687,211,14284.648432
491.768422,500,14301.415364
183.230871,187,14307.588279
234.390161,239,14315.620156
401.562487,409,14329.246219
69.846071,72,14331.621405
491.626785,500,14348.247701
203.882952,208,14355.326378
491.757493,500,14372.093311
418.35331,426,14386.594441
375.054122,383,14399.423584
200.578696,205,14406.424131
101.129908,104,14410.096292
26.440611,28,14411.111997
207.439291,212,14418.096916
491.924972,500,14434.707586
257.953817,263,14443.598905
220.115137,224,14451.208873
491.54259,500,14467.944554
489.841186,500,14484.586476
492.341435,500,14501.290905
432.699902,443,14515.995176
490.302987,500,14532.6371
299.818956,307,14542.997282
154.431101,157,14548.21644
411.349051,420,14562.155027
490.715965,500,14578.906332
208.08768,212,14586.000636
118.142402,121,14590.141584
51.140568,53,14591.922973
492.073048,500,14608.66618
54.311318,56,14610.556953
490.446791,500,14627.05824
490.444833,500,14643.778294
491.352603,500,14660.638985
491.697268,500,14677.2972
489.107471,500,14693.876618
490.548721,500,14710.424784
277.189389,283,14719.769263
489.685423,500,14736.598701
489.038052,500,14753.287502
384.890198,394,14766.226012
168.984457,173,14772.085843
490.690396,500,14788.665262
490.89285,500,14805.057165
446.909119,456,14820.230223
307.893047,316,14830.871678
176.72674,180,14836.856519
191.415997,195,14843.419531
491.046407,500,14860.123961
23.518056,25,14860.999029
125.180573,129,14865.358743
490.360617,500,14881.875657
490.768899,500,14898.408195
489.689144,500,14914.987614
348.332629,353,14926.816662
415.879583,424,14941.052149
468.115818,479,14957.100274
110.269147,113,14960.881819
76.445838,79,14963.47577
435.886912,445,14978.52382
488.997188,500,14994.962221
406.399765,414,15008.791934
365.057845,374,15021.089769
490.480851,500,15037.715141
492.793358,500,15054.591458
435.51785,443,15069.514497
442.855598,450,15084.578171
490.158894,500,15101.204468
492.463416,500,15117.84639
44.280776,46,15119.424638
489.419845,500,15136.066561
51.14267,53,15137.89483
63.129399,65,15140.129379
48.114264,50,15141.801383
490.229727,500,15158.458933
120.435493,123,15162.553002
379.341648,387,15175.429007
84.919164,87,15178.288604
491.134429,500,15194.993033
53.077019,55,15196.868179
491.421753,500,15213.419482
36.272856,38,15214.66958
491.134534,500,15231.248997
491.55678,500,15247.875294
490.041086,500,15264.532843
490.038454,500,15281.365762
492.739225,500,15297.960807
491.648465,500,15314.540225
40.254309,42,15316.024715
315.192311,321,15326.603665
59.927375,62,15328.634022
418.612359,427,15342.65074
491.312511,500,15359.059241
278.374227,284,15368.481851
489.653181,500,15385.030016
489.400696,500,15401.703192
492.059614,500,15418.407619
173.110625,178,15424.220573
490.529985,500,15440.831517
491.982226,500,15457.582824
480.520127,489,15473.92785
433.306412,443,15488.55399
201.157814,205,15495.398274
492.135823,500,15512.026083
491.203075,500,15528.652381
152.470623,155,15533.949668
60.3001,62,15535.981077
491.224819,500,15552.873019
138.109838,141,15557.545258
36.300908,38,15558.889113
493.741447,500,15575.531037
492.309978,500,15592.282342
77.463512,80,15594.891921
491.176856,500,15611.721358
402.233,410,15625.566188
489.910131,500,15642.489869
211.591508,216,15649.646677
490.344222,500,15666.460488
491.48552,500,15683.358557
98.175114,101,15686.765072
491.138816,500,15703.516378
203.018653,207,15710.563804
85.167843,88,15713.579664
248.282501,252,15722.236798
310.062376,315,15732.800215
490.55975,500,15749.426511
67.040486,69,15751.739192
162.274554,166,15757.317752
490.509177,500,15773.959675
486.833574,493,15790.42971
93.628134,96,15793.679964
239.18935,243,15801.899354
492.933726,500,15818.728791
387.823009,394,15831.979825
492.111491,500,15848.918646
490.511724,500,15865.88872
135.60477,139,15870.623464
490.97776,500,15887.468529
491.687106,500,15904.219835
255.554587,260,15913.125695
420.02787,429,15927.504527
491.431677,500,15944.443348
407.489645,415,15958.397527
490.773175,500,15975.055077
489.917928,500,15991.590449
491.620869,500,16008.169867
117.514875,121,16012.232685
286.906908,292,16022.077203
119.525694,122,16026.14002
490.65936,500,16042.860227
185.686832,190,16049.188847
152.870992,157,16054.392377
489.866856,500,16071.299946
490.505466,500,16088.004374
389.2969,397,16101.458549
466.850427,476,16117.56918
490.26131,500,16134.461122
194.798998,200,16141.352285
491.330131,500,16158.103591
32.629743,34,16159.275558
263.838144,269,16168.463774
275.532566,280,16178.136403
492.781194,500,16194.918962
224.846275,229,16202.747698
425.554955,434,16217.342587
355.995701,363,16229.703439
264.28699,269,16238.75102
492.153774,500,16255.564832
78.534703,81,16258.361925
254.385791,259,16267.190737
283.09309,288,16276.817444
142.171309,145,16281.755329
491.249962,500,16298.522262
136.016517,139,16303.116371
441.628023,450,16318.070662
491.430783,500,16334.775089
490.975938,500,16351.52654
490.26933,500,16368.466251
249.036153,253,16377.076297
264.526595,269,16386.077477
145.816422,149,16391.046615
208.30411,213,16398.265928
259.356113,265,16407.110368
186.73237,191,16413.563996
494.489786,500,16430.705958
305.465778,313,16441.300534
310.113852,316,16451.941991
491.595082,500,16468.724549
272.096916,279,16478.084653
97.118202,100,16481.522421
420.319521,428,16495.9923
468.986251,476,16512.149811
67.083652,69,16514.540622
185.60382,190,16521.025502
119.462136,122,16525.135088
468.515992,477,16541.213368
162.508163,166,16546.7763
490.715633,500,16563.527607
489.591109,500,16580.232035
135.376074,139,16585.091789
36.439729,38,16586.513776
230.540463,236,16594.405015
428.658561,437,16609.01553
50.273922,52,16610.796919
335.933347,343,16622.235311
491.382304,500,16639.127443
145.358896,149,16644.268469
437.1323,447,16658.957115
249.462704,255,16667.520282
144.943141,148,16672.458167
395.635057,403,16685.927968
365.714869,374,16698.44457
42.236516,44,16699.944686
491.136406,500,16716.680367
490.794822,500,16733.400421
490.930524,500,16750.081766
193.890175,198,16756.879171
160.501141,165,16762.410852
491.386141,500,16779.271543
491.937833,500,16795.882213
46.041305,48,16797.538593
344.294818,351,16809.377357
450.617385,460,16824.893791
491.421726,500,16841.832613
182.339661,186,16848.0831
490.708293,500,16864.881284
181.531185,186,16871.272409
188.283766,193,16877.71041
250.100843,256,16886.414214
46.4665,48,16888.117472
492.633348,500,16904.931284
314.523646,322,16915.822758
199.802602,205,16922.776425
310.300244,315,16933.292871
28.563313,30,16934.355453
225.104374,231,16942.074805
427.295881,436,16956.763452
493.32085,500,16973.639938
302.827966,308,16983.906473
168.416338,172,16989.866566
321.918607,330,17000.929929
136.226724,139,17005.560401
82.310454,85,17008.513756
491.274308,500,17025.358819
238.881883,244,17033.609463
55.990511,58,17035.593993
269.286054,275,17044.907713
490.203127,500,17061.877786
489.083542,500,17078.72285
491.892312,500,17095.427278
155.320901,159,17100.693313
153.4979,157,17106.021854
185.994145,190,17112.350473
491.648096,500,17129.523688
26.57898,28,17130.445634
318.339097,324,17141.462118
138.256419,142,17146.321872
232.250948,238,17154.353749
258.480669,263,17163.151311
100.995388,104,17166.604704
115.247699,118,17170.527127
490.956817,500,17187.29406
488.825269,500,17203.998487
202.228142,206,17210.905277
491.675703,500,17227.719088
128.852238,131,17232.047551
145.554937,149,17237.266707
219.374907,225,17244.657909
50.074246,52,17246.361166
129.956645,133,17250.814638
46.103475,48,17252.424139
59.085977,61,17254.533678
206.058766,210,17261.534224
478.590534,487,17277.738613
70.998574,73,17280.160677
442.37862,452,17295.052464
491.282154,500,17311.740753
458.688883,470,17327.288841
491.019129,500,17344.040147
489.42195,500,17360.619565
492.919988,500,17377.183357
492.030402,500,17393.715896
445.600125,455,17408.717066
194.12714,198,17415.217573
240.471355,245,17423.54635
491.391995,500,17440.188271
451.370083,461,17455.68948
186.930598,190,17461.924341
173.700228,177,17467.815425
489.898352,500,17484.566732
391.155313,400,17497.895896
490.146635,500,17514.428436
169.293862,172,17520.382026
153.817202,157,17525.585557
177.182938,182,17531.711034
66.432588,69,17534.08622
201.014333,205,17540.94613
488.733411,500,17557.509922
493.616293,500,17574.073713
235.286239,240,17582.058712
256.373187,261,17590.778141
491.973556,500,17607.560701
490.492104,500,17624.406699
492.590714,500,17641.174516
491.618272,500,17658.049227
284.642475,291,17667.893746
489.620644,500,17684.69193
205.986071,210,17691.708102
491.553241,500,17708.367153
490.219863,500,17724.970909
489.882374,500,17741.409692
402.184047,409,17755.004502
490.58381,500,17771.693303
354.248724,363,17783.928632
185.737449,189,17790.257251
490.452342,500,17806.805416
253.157606,258,17815.540473
490.003078,500,17832.026134
489.705173,500,17848.621178
489.753901,500,17865.122465
488.792881,500,17881.561247
325.340223,333,17892.780872
491.814735,500,17909.432315
491.149281,500,17926.042985
61.014926,63,17928.09002
489.97009,500,17945.044468
399.892325,408,17958.458794
491.805043,500,17975.210101
489.438039,500,17991.961407
262.091382,268,18000.993361
331.654395,338,18012.087977
415.757832,424,18026.635987
465.204204,474,18042.434094
108.548555,111,18046.16876
326.383873,333,18057.404012
491.463775,500,18074.139692
491.211072,500,18090.750363
43.046999,45,18092.359862
489.994447,500,18108.829898
148.762787,153,18113.970924
231.684504,237,18121.940295
320.250881,328,18132.972405
490.328295,500,18149.723711
489.817689,500,18166.443767
33.492267,35,18167.693865
489.603212,500,18184.351413
430.141907,439,18199.07131
430.083042,438,18213.869489
489.208006,500,18230.277185
442.725787,451,18245.293981
72.731573,75,18247.809802
491.483819,500,18264.561108
491.636886,500,18281.186544
375.222875,382,18294.139152
283.455854,288,18303.827407
490.856643,500,18320.484956
490.336464,500,18337.236262
156.714886,160,18342.58043
390.747653,399,18355.909595
489.995188,500,18372.551517
490.600713,500,18389.505964
164.615507,168,18395.178282
63.576744,66,18397.506588
490.702232,500,18414.461193
489.60649,500,18431.149995
491.426619,500,18447.963806
490.766109,500,18464.699486
489.392182,500,18481.419541
490.373483,500,18497.998959
193.401322,199,18504.577597
238.911039,244,18512.75011
489.001725,500,18529.31438
219.128187,225,18536.861842
490.570953,500,18553.644402
488.37419,500,18570.25416
481.511608,493,18586.739821
491.218851,500,18603.474979
260.802099,266,18612.241288
36.428908,38,18613.538264
123.453736,126,18617.772969
240.474832,245,18625.976735
489.031059,500,18642.540526
216.552906,220,18650.009859
296.894941,304,18660.229406
40.370309,42,18661.635765
48.182452,50,18663.319258
490.779766,500,18680.00806
491.144911,500,18696.792082
490.499109,500,18713.402752
490.862639,500,18730.122805
492.696782,500,18747.202262
492.6442,500,18764.062952
491.328507,500,18780.68925
125.714918,129,18784.939581
262.475931,268,18794.002789
489.585806,500,18810.734004
115.762462,119,18814.703065
492.46477,500,18831.485623
180.211355,185,18837.73611
491.370206,500,18854.690557
124.150275,127,18859.050273
419.990176,430,18873.44202
490.251383,500,18889.990741
324.049457,331,18901.351002
206.903718,210,18908.367175
490.970206,500,18925.071602
332.437381,340,18936.697508
490.658542,500,18953.542573
50.986033,53,18955.339587
50.099227,52,18957.058472
128.396325,131,18961.590075
269.134568,275,18970.747041
175.463433,179,18976.700629
62.95353,65,18978.919552
491.468214,500,18995.639606
305.373155,311,19006.124799
309.923249,315,19016.782387
212.517888,217,19024.017325
489.712517,500,19040.785258
426.608212,438,19055.520782
255.435988,261,19064.365221
490.259459,500,19080.616488
356.087388,364,19092.774729
490.537084,500,19109.588697
488.683158,500,19126.246246
490.93992,500,19142.9663
318.315898,325,19153.764018
490.064325,500,19170.468616
262.447164,269,19179.531823
490.373875,500,19196.283129
488.443213,500,19212.925053
177.071578,181,19219.003651
490.369724,500,19235.864342
490.98883,500,19252.56877
488.01031,500,19269.304451
490.140317,500,19286.024504
423.939442,432,19300.45363
490.18547,500,19317.189568
491.051028,500,19333.815865
489.319014,500,19350.28539
229.918865,235,19358.223511
489.091882,500,19374.741353
285.568133,291,19384.66337
490.22609,500,19401.2585
245.480111,250,19409.618528
354.622227,363,19421.931989
112.941421,116,19425.760412
111.727639,115,19429.635714
64.692686,67,19431.932768
490.253071,500,19448.497467
489.19535,500,19465.451914
490.949515,500,19482.312604
490.688739,500,19499.0641
488.399117,500,19515.92479
491.613784,500,19532.582338
368.482361,376,19545.255203
491.687963,500,19561.990882
491.334944,500,19578.533386
492.563989,500,19595.175309
490.798818,500,19611.817232
491.350063,500,19628.396154
489.317591,500,19645.006824
489.494531,500,19661.601868
75.478207,78,19664.211447
