#{"t_start": 1662268370.512798, "env_id": "highway-fast-v0"}
r,l,t
277.800523,283,1025.755469
47.112819,49,1027.4431
124.95658,128,1031.755937
76.69902,79,1034.490526
446.60117,455,1050.101723
159.24991,163,1055.649032
64.631061,67,1058.00859
33.234236,35,1059.243061
103.106686,106,1062.76935
153.376382,157,1068.176024
208.873629,213,1075.614102
86.813531,89,1078.676841
63.92554,66,1080.911391
105.939268,109,1084.646057
47.325795,49,1086.364941
68.51883,71,1088.708874
64.991999,67,1090.91217
247.056808,253,1099.631601
56.17034,58,1101.569252
42.118828,44,1103.084995
59.81519,62,1105.241414
128.798187,132,1109.773016
61.22821,63,1112.054444
80.521275,83,1114.960922
177.330054,181,1120.977016
145.398946,149,1126.024284
29.55947,31,1127.039988
86.245855,89,1130.133979
60.173075,62,1132.337276
122.676118,126,1136.681365
136.64036,140,1141.556745
99.046303,102,1144.916383
36.441624,38,1146.228985
103.424855,106,1149.838642
40.24737,42,1151.276253
154.142811,158,1156.573541
50.27202,52,1158.433061
81.61537,84,1161.32934
417.606893,428,1175.674209
127.872267,131,1180.221438
210.177499,215,1187.393872
90.556389,93,1190.550369
98.627484,101,1193.925633
213.996619,219,1201.348087
82.456753,85,1204.207684
295.959773,303,1214.520988
231.091227,236,1222.443482
210.798759,215,1229.709673
163.648791,167,1235.397617
180.598399,185,1241.679357
55.9645,58,1243.617008
67.697001,70,1245.976567
55.010852,57,1247.898593
165.363829,169,1253.539657
491.971498,500,1270.603487
142.897785,146,1275.635131
54.400279,56,1277.525903
109.659205,113,1281.494962
17.643995,19,1282.182516
38.269174,40,1283.604501
193.143191,198,1290.245644
62.888042,65,1292.480195
136.086714,139,1297.277443
80.620581,83,1300.152668
67.572246,70,1302.652863
185.734842,190,1309.106492
161.620612,166,1314.856941
203.329175,208,1321.998121
77.37767,80,1324.654579
205.463668,209,1331.842107
305.875002,312,1342.467935
68.160643,70,1344.874373
63.606121,66,1347.124549
67.016354,69,1349.593491
161.219079,165,1355.218929
49.997355,52,1357.109701
211.628898,217,1364.407147
96.960448,100,1367.860541
39.275191,41,1369.251274
121.226881,124,1373.392222
104.953379,108,1377.220645
398.318876,407,1390.987346
143.389614,147,1396.190876
85.604538,88,1399.175483
248.800922,254,1407.738651
202.536522,208,1414.84858
76.493231,79,1417.505037
197.157984,202,1424.411827
55.210938,57,1426.349478
43.11235,45,1427.818342
490.224575,500,1444.975931
51.134451,53,1446.788572
95.298926,98,1450.10133
69.766748,72,1452.585899
206.681938,212,1459.838833
47.033157,49,1461.510839
67.791285,70,1463.839145
342.109136,348,1475.54713
351.758827,359,1487.61057
55.941847,58,1489.626353
95.888126,99,1493.032868
89.464456,92,1496.189364
440.217315,451,1511.607805
133.456806,137,1516.155035
144.232708,148,1521.09292
265.964432,271,1530.124874
273.832906,280,1539.516232
194.966892,200,1546.188627
156.796144,160,1551.54842
45.20848,47,1553.142294
78.508316,81,1555.861256
59.025934,61,1557.845786
76.508108,79,1560.439738
61.089275,63,1562.502399
73.731271,76,1565.080726
62.070044,64,1567.205891
133.112305,137,1571.831252
76.627488,79,1574.503335
179.251838,184,1580.470023
167.919122,172,1586.220473
127.715844,131,1590.455176
491.041204,500,1606.846555
410.371828,419,1620.675759
87.813185,90,1623.598887
55.921489,58,1625.474034
313.749289,320,1636.02231
111.766616,115,1639.850732
172.765756,177,1645.741817
491.527853,500,1662.35338
36.161698,38,1663.63473
239.930145,245,1671.744737
90.213851,93,1674.901233
250.421477,255,1683.167502
369.073948,374,1695.605973
229.109358,234,1703.325875
45.13566,47,1704.888496
157.436673,161,1710.263916
170.621389,175,1716.014365
218.307592,223,1723.358687
408.204794,416,1737.000376
68.480162,71,1739.359936
47.866708,50,1741.063193
91.664193,94,1744.17281
68.599631,71,1746.502017
64.848146,67,1748.736566
58.044032,60,1750.705469
143.230311,147,1755.674608
55.800258,58,1757.612258
488.80492,500,1774.129171
366.14569,373,1786.442632
131.270881,135,1790.927357
165.694826,170,1796.615301
38.225446,40,1797.943529
180.978086,185,1803.959623
51.911611,54,1805.787891
285.735837,291,1815.429268
126.62376,130,1819.804609
24.709923,26,1820.679677
125.471549,129,1825.023767
47.719603,50,1826.727024
492.663096,500,1843.087675
61.829231,64,1845.228466
99.373374,102,1848.681861
134.559449,138,1853.182212
96.025975,99,1856.526222
50.10136,52,1858.245107
146.892016,151,1863.22987
412.010633,421,1877.105953
252.065155,257,1885.60671
404.068008,413,1899.342156
251.504011,257,1907.889699
194.974785,199,1914.733981
78.543768,81,1917.34356
239.384721,244,1925.422315
371.90435,379,1937.92329
84.620057,87,1940.954882
59.893629,62,1943.040797
164.045148,167,1948.431842
39.434839,41,1949.869454
488.902987,500,1966.37074
168.272229,172,1972.058685
148.136583,152,1977.090328
299.445632,305,1987.12236
38.154735,40,1988.481841
488.779967,500,2004.983128
489.771831,500,2021.500041
450.156285,459,2036.782483
172.995775,177,2042.736072
490.790427,500,2059.268611
308.197648,315,2069.706926
489.409997,500,2086.161334
114.860243,118,2090.083515
489.120037,500,2106.537925
379.466726,387,2119.539854
229.281536,234,2127.181075
490.251366,500,2143.807372
491.07706,500,2160.574306
201.476853,206,2167.684234
490.210198,500,2184.373035
490.582424,500,2200.984005
132.766689,136,2205.578113
59.966886,62,2207.672027
65.527693,68,2210.031586
132.165711,136,2214.578815
104.809823,108,2218.07909
67.704551,70,2220.329264
59.749915,62,2222.470055
319.386494,326,2233.174015
492.017192,500,2249.659677
89.24659,92,2252.753668
212.031366,216,2259.988607
30.397549,32,2261.098068
53.35899,55,2262.941962
22.629369,24,2263.754525
56.907745,59,2265.770308
90.117244,93,2268.973684
48.189258,50,2270.676941
168.231701,172,2276.443015
249.7176,256,2285.037436
416.666679,424,2299.132285
28.519041,30,2300.163615
